band,time_mjd
g,55561.576388888876
g,55561.631944444445
g,55565.518055555556
g,55565.52916666667
g,55567.5125
g,55567.55902777778
i,55589.48125
i,55589.51944444444
i,55589.59583333333
i,55590.538194444445
g,55590.54583333333
g,55590.60208333333
i,55590.615972222215
i,55595.46597222221
i,55595.50486111111
i,55595.58819444443
i,55596.44722222224
i,55596.55625
i,55596.62152777778
i,55621.52847222221
i,55621.59027777778
i,55622.415277777785
i,55646.325
i,55651.35208333333
i,55651.390972222216
z,55712.30694444443
z,55713.31666666666
z,55713.365277777775
z,55714.34027777778
z,55714.38958333333
z,55716.31041666667
z,55716.359722222216
u,56329.50277777777
u,56416.30069444444
u,56416.36736111112
u,56419.33888888889
u,56420.30763888889
u,56420.368055555555
